
 memoria ; bateria ; cpu ; crip ;
  3 ; 81 ; 68 ; ##AES128## ;
  3 ; 81 ; 71 ; ##AES128## ;
  3 ; 81 ; 72 ; ##AES128## ;
  3 ; 81 ; 72 ; ##AES128## ;
  3 ; 81 ; 73 ; ##AES128## ;
  3 ; 81 ; 74 ; ##AES128## ;
  3 ; 81 ; 73 ; ##AES128## ;
  3 ; 81 ; 73 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  3 ; 81 ; 92 ; ##AES128## ;
  3 ; 81 ; 91 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 81 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 93 ; ##AES128## ;
  2 ; 83 ; 93 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 93 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 93 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 91 ; ##AES128## ;
  2 ; 83 ; 90 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 83 ; 92 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 90 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 90 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 93 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 93 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 90 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
  2 ; 85 ; 91 ; ##AES128## ;
  2 ; 85 ; 93 ; ##AES128## ;
  2 ; 85 ; 92 ; ##AES128## ;
