memoria, bateria, cpu, crip
  3%, 68%, 54%, ##AES256##
  3%, 68%, 53%, ##AES256##
  3%, 68%, 52%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 57%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 58%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 56%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 51%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 51%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 56%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 57%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 52%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 55%, ##AES256##
  3%, 71%, 54%, ##AES256##
  3%, 71%, 56%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 71%, 53%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 56%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 58%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 57%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 57%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 59%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 56%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 55%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 58%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 57%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 57%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 73%, 52%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 57%, ##AES256##
  3%, 73%, 54%, ##AES256##
  3%, 73%, 53%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 54%, ##AES256##
  3%, 75%, 53%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 54%, ##AES256##
  3%, 75%, 60%, ##AES256##
  3%, 75%, 57%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 53%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 55%, ##AES256##
  3%, 75%, 53%, ##AES256##
  3%, 75%, 54%, ##AES256##
  3%, 75%, 58%, ##AES256##
  3%, 75%, 54%, ##AES256##
  3%, 75%, 53%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 56%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 57%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 54%, ##AES256##
  3%, 75%, 52%, ##AES256##
  3%, 75%, 53%, ##AES256##
  3%, 75%, 51%, ##AES128##
  3%, 75%, 54%, ##AES128##
  3%, 75%, 51%, ##AES128##
  3%, 75%, 53%, ##AES128##
  3%, 75%, 51%, ##AES128##
  3%, 75%, 53%, ##AES128##
  3%, 75%, 51%, ##AES128##
  3%, 75%, 53%, ##AES128##
  3%, 75%, 52%, ##AES128##
  3%, 75%, 54%, ##AES128##
  3%, 75%, 54%, ##AES128##
  3%, 75%, 53%, ##AES128##
  3%, 75%, 50%, ##AES128##
  3%, 75%, 52%, ##AES128##
  3%, 75%, 56%, ##AES128##
  3%, 75%, 54%, ##AES128##
  3%, 75%, 52%, ##AES128##
  3%, 75%, 53%, ##AES128##
  3%, 75%, 51%, ##AES128##
  3%, 75%, 55%, ##AES128##
