 memoria, bateria, cpu, crip,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 90%, ##AES192##,
  2%, 95%, 90%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 92%, ##AES192##,
  2%, 95%, 93%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 92%, ##AES192##,
  2%, 95%, 91%, ##AES192##,
  2%, 95%, 92%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 93%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 92%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 92%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 89%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 97%, 92%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 92%, ##AES192##,
  2%, 97%, 91%, ##AES192##,
  2%, 97%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 92%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 91%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 89%, ##AES192##,
  2%, 99%, 90%, ##AES192##,
  2%, 100%, 90%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 90%, ##AES192##,
  2%, 100%, 90%, ##AES192##,
  2%, 100%, 88%, ##AES192##,
  2%, 100%, 91%, ##AES192##,
  2%, 100%, 89%, ##AES192##,
  2%, 100%, 90%, ##AES192##,
  2%, 100%, 78%, ##AES192##,
