##AES192## , ##AES256## 
 0.018610 , 0.000164 
 0.000215 , 0.000160 
 0.000163 , 0.004169 
 0.000167 , 0.000160 
 0.000169 , 0.000158 
 0.000165 , 0.000160 
 0.004163 , 0.000157 
 0.000167 , 0.004159 
 0.000135 , 0.000160 
 0.000164 , 0.000160 
 0.000160 , 0.000157 
 0.000161 , 0.000158 
 0.000152 , 0.004158 
 0.000095 , 0.000162 
 0.004107 , 0.000156 
 0.000171 , 0.000157 
 0.001651 , 0.000160 
 0.000191 , 0.004149 
 0.000135 , 0.000170 
 0.000164 , 0.000156 
 0.000164 , 0.000157 
 0.002600 , 0.000158 
 0.000141 , 0.000157 
 0.000145 , 0.004165 
 0.000135 , 0.000163 
 0.000169 , 0.000159 
 0.000160 , 0.000159 
 0.000159 , 0.000159 
 0.004165 , 0.000166 
 0.000169 , 0.000166 
 0.000182 , 0.000168 
 0.000171 , 0.000160 
 0.000166 , 0.000161 
 0.000173 , 0.000162 
 0.000165 , 0.000161 
 0.004161 , 0.000166 
 0.000165 , 0.004190 
 0.000158 , 0.000195 
 0.000151 , 0.000209 
 0.000155 , 0.000183 
 0.002781 , 0.004187 
 0.000168 , 0.000185 
 0.000163 , 0.000183 
 0.000167 , 0.000186 
 0.000175 , 0.000150 
 0.000175 , 0.000143 
 0.000178 , 0.000168 
 0.000166 , 0.004168 
 0.000166 , 0.000171 
 0.000162 , 0.000172 
 0.000169 , 0.000161 
 0.000171 , 0.000166 
 0.000169 , 0.000161 
 0.000174 , 0.000160 
 0.000173 , 0.088190 
 0.000164 , 0.000204 
 0.004168 , 0.004176 
 0.000166 , 0.000172 
 0.000176 , 0.000168 
 0.000175 , 0.000184 
 0.000159 , 0.000173 
 0.000168 , 0.004169 
 0.000133 , 0.000174 
 0.004154 , 0.000173 
 0.000146 , 0.000172 
 0.000176 , 0.000169 
 0.000162 , 0.004171 
 0.000158 , 0.000171 
 0.000156 , 0.000171 
 0.004155 , 0.000171 
 0.000159 , 0.000169 
 0.000157 , 0.004176 
 0.000155 , 0.000202 
 0.000156 , 0.000161 
 0.000159 , 0.000155 
 0.004152 , 0.000152 
 0.000161 , 0.000155 
 0.000158 , 0.004162 
 0.000122 , 0.000202 
 0.000135 , 0.000205 
 0.004168 , 0.000170 
 0.000183 , 0.100211 
