
 memoria ; bateria,cpu ; crip ;   ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 74 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 74 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 74 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 90 ; 73 ; ##AES256## ;
  3 ; 90 ; 71 ; ##AES256## ;
  3 ; 90 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 71 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 71 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 76 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 74 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 71 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 74 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 73 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 92 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 70 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 74 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 72 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 73 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 93 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 93 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 91 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 91 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  3 ; 94 ; 91 ; ##AES256## ;
  3 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 92 ; ##AES256## ;
  2 ; 94 ; 88 ; ##AES256## ;
