
 memoria ; bateria,cpu ; crip ;   ;
  3 ; 73 ; 60 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 75 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 72 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 72 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 75 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 73 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 72 ; ##CHACHA## ;
  3 ; 73 ; 75 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 73 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 72 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 72 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 75 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 72 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 72 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 75 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 73 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 75 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 75 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 75 ; ##CHACHA## ;
  3 ; 77 ; 72 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 72 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 75 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 73 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 77 ; 74 ; ##CHACHA## ;
  3 ; 79 ; 74 ; ##CHACHA## ;
  3 ; 79 ; 73 ; ##CHACHA## ;
  3 ; 79 ; 74 ; ##CHACHA## ;
  3 ; 79 ; 73 ; ##CHACHA## ;
  3 ; 79 ; 72 ; ##CHACHA## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 74 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 72 ; ##AES192## ;
  3 ; 79 ; 74 ; ##AES192## ;
  3 ; 79 ; 72 ; ##AES192## ;
  3 ; 79 ; 71 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 71 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 72 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 71 ; ##AES192## ;
  3 ; 79 ; 71 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
  3 ; 79 ; 72 ; ##AES192## ;
  3 ; 79 ; 71 ; ##AES192## ;
  3 ; 79 ; 73 ; ##AES192## ;
