 memoria, bateria, cpu, crip,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 70%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 71%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 73%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
  3%, 54%, 72%, ##AES128##,
  3%, 54%, 74%, ##AES128##,
