memoria, bateria, cpu, crip
  3%, 77%, 50%, ##AES128##
  3%, 77%, 55%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 55%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 54%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 54%, ##AES128##
  3%, 77%, 54%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 51%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 50%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 51%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 51%, ##AES128##
  3%, 77%, 55%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 54%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 77%, 55%, ##AES128##
  3%, 77%, 53%, ##AES128##
  3%, 77%, 55%, ##AES128##
  3%, 77%, 54%, ##AES128##
  3%, 77%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 56%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 55%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 57%, ##AES128##
  3%, 79%, 56%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 56%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 56%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 58%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 55%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 51%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 57%, ##AES128##
  3%, 79%, 56%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 50%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 57%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 57%, ##AES128##
  3%, 79%, 54%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 79%, 52%, ##AES128##
  3%, 79%, 53%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 53%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 58%, ##AES128##
  3%, 80%, 53%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 54%, ##AES128##
  3%, 80%, 56%, ##AES128##
  3%, 80%, 51%, ##AES128##
  3%, 80%, 54%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 57%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 53%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 57%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 53%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 52%, ##AES128##
  3%, 80%, 54%, ##AES128##
