##AES256## , ##AES128## 
 0.001323 , 0.000157 
 0.000238 , 0.000145 
 0.000195 , 0.004137 
 0.003062 , 0.000137 
 0.000181 , 0.000143 
 0.000179 , 0.000217 
 0.000179 , 0.004231 
 0.000173 , 0.000203 
 0.000172 , 0.004244 
 0.000175 , 0.004166 
 0.000178 , 0.000188 
 0.004175 , 0.000176 
 0.000173 , 0.000173 
 0.000168 , 0.000209 
 0.000170 , 0.000211 
 0.000168 , 0.000202 
 0.000167 , 0.000197 
 0.000167 , 0.004287 
 0.000159 , 0.000208 
 0.000157 , 0.000199 
 0.004171 , 0.000188 
 0.000167 , 0.000274 
 0.000125 , 0.004259 
 0.000177 , 0.000229 
 0.000166 , 0.004260 
 0.001691 , 0.000290 
 0.001300 , 0.004232 
 0.000179 , 0.000213 
 0.000234 , 0.000200 
 0.002465 , 0.004243 
 0.000192 , 0.000211 
 0.000168 , 0.000211 
 0.001960 , 0.004207 
 0.000177 , 0.000176 
 0.000195 , 0.000207 
 0.000202 , 0.000290 
 0.000195 , 0.000266 
 0.000191 , 0.000286 
 0.000189 , 0.004338 
 0.004948 , 0.000280 
 0.000317 , 0.004268 
 0.000206 , 0.000261 
 0.000210 , 0.004276 
 0.003098 , 0.000306 
 0.001158 , 0.004271 
 0.000225 , 0.000264 
 0.000209 , 0.004265 
 0.001714 , 0.000264 
 0.000168 , 0.004273 
 0.002575 , 0.000260 
 0.000165 , 0.004271 
 0.001779 , 0.036248 
 0.000925 , 0.000222 
 0.000198 , 0.004202 
 0.003467 , 0.000219 
 0.000238 , 0.012194 
 0.007797 , 0.000169 
 0.000172 , 0.000143 
 0.000166 , 0.000139 
 0.003807 , 0.000133 
 0.000274 , 0.000131 
 0.002640 , 0.004152 
 0.000252 , 0.000184 
 0.000202 , 0.000186 
 0.000200 , 0.000185 
 0.002431 , 0.000184 
 0.000140 , 0.004187 
 0.000132 , 0.000193 
 0.001878 , 0.000185 
 0.000176 , 0.000189 
 0.000179 , 0.000191 
 0.004176 , 0.004185 
 0.000154 , 0.000196 
 0.000173 , 0.000184 
 0.004113 , 0.000184 
 0.000173 , 0.000183 
 0.000160 , 0.000184 
 0.000160 , 0.004197 
 0.000161 , 0.092185 
 0.000161 , 0.000214 
 0.000169 , 0.004232 
 0.004181 , 0.000248 
 0.000166 , 0.004259 
 0.000164 , 0.000237 
 0.000159 , 0.004237 
 0.000156 , 0.000209 
 0.000163 , 0.004227 
 0.004162 , 0.000214 
 0.000164 , 0.004223 
 0.000162 , 0.004244 
 0.000162 , 0.000188 
 0.000166 , 0.000172 
 0.000192 , 0.004230 
 0.000154 , 0.004217 
 0.004155 , 0.000292 
 0.000156 , 0.004273 
 0.000150 , 0.000247 
 0.000150 , 0.008276 
 0.000147 , 0.000247 
 0.000148 , 0.000236 
 0.000149 , 0.004234 
 0.000148 , 0.000240 
 0.004151 , 0.004237 
 0.000141 , 0.000239 
 0.000152 , 0.004234 
 0.000148 , 0.000239 
 0.000147 , 0.000230 
 0.003720 , 0.008267 
 0.000624 , 0.000190 
 0.000145 , 0.000195 
 0.002317 , 0.004209 
 0.000178 , 0.000304 
 0.000165 , 0.000197 
 0.001982 , 0.000184 
 0.000172 , 0.000186 
 0.000182 , 0.007714 
 0.000177 , 0.000205 
 0.000176 , 0.000186 
 0.000166 , 0.000182 
 0.004151 , 0.000186 
 0.000175 , 0.004193 
 0.000178 , 0.000184 
 0.000179 , 0.000186 
 0.000178 , 0.000184 
 0.000172 , 0.000182 
 0.000164 , 0.004182 
 0.004185 , 0.000189 
 0.000166 , 0.000183 
 0.000167 , 0.000188 
 0.000165 , 0.000184 
 0.000174 , 0.004186 
 0.004171 , 0.000188 
 0.000178 , 0.000187 
 0.000205 , 0.000185 
 0.000182 , 0.000185 
 0.000191 , 0.040194 
 0.003532 , 0.004208 
 0.000811 , 0.000190 
 0.000171 , 0.000198 
 0.000176 , 0.000202 
 0.000173 , 0.004224 
 0.000166 , 0.004182 
 0.000158 , 0.000163 
 0.004147 , 0.000154 
 0.000128 , 0.000143 
 0.000130 , 0.004132 
 0.000134 , 0.000170 
 0.000170 , 0.000182 
 0.000167 , 0.000182 
 0.000172 , 0.004273 
 0.004165 , 0.000258 
 0.000172 , 0.004255 
 0.000162 , 0.000160 
 0.001876 , 0.000173 
 0.000158 , 0.000137 
 0.000158 , 0.000133 
 0.006435 , 0.000135 
 0.000178 , 0.000134 
 0.000192 , 0.004282 
 0.000191 , 0.000196 
 0.024097 , 0.000195 
 0.003255 , 0.004151 
 0.001099 , 0.092203 
 0.000158 , 0.000165 
 0.000179 , 0.000136 
 0.000166 , 0.000133 
 0.000177 , 0.004173 
 0.004180 , 0.000142 
 0.000177 , 0.000157 
 0.000186 , 0.000151 
 0.000203 , 0.000154 
 0.004203 , 0.004114 
 0.000185 , 0.000153 
 0.000177 , 0.000151 
 0.000204 , 0.000174 
 0.004153 , 0.008226 
 0.000129 , 0.000218 
 0.000140 , 0.004215 
 0.000190 , 0.000198 
 0.000192 , 0.000165 
 0.000187 , 0.000170 
 0.000191 , 0.000163 
 0.000184 , 0.004167 
 0.000193 , 0.000185 
 0.003842 , 0.000193 
 0.000414 , 0.004218 
 0.000135 , 0.000266 
 0.107934 , 0.000172 
 0.000190 , 0.000189 
 0.000144 , 0.004207 
 0.000138 , 0.000205 
 0.000132 , 0.000239 
 0.004138 , 0.000173 
 0.000144 , 0.004148 
 0.000143 , 0.000166 
 0.000144 , 0.000163 
 0.000141 , 0.000161 
 0.004133 , 0.000158 
 0.000161 , 0.000156 
 0.000137 , 0.000163 
 0.000138 , 0.004192 
 0.000113 , 0.000165 
 0.000119 , 0.000158 
 0.000114 , 0.000157 
 0.000111 , 0.000162 
 0.000119 , 0.000163 
 0.003266 , 0.000156 
 0.000152 , 0.004133 
 0.000999 , 0.000160 
 0.000147 , 0.000162 
 0.000144 , 0.000156 
 0.000135 , 0.000162 
 0.000136 , 0.000189 
 0.000139 , 0.000183 
 0.004143 , 0.004193 
 0.000168 , 0.000187 
 0.000183 , 0.072219 
 0.000188 , 0.000282 
 0.004226 , 0.004237 
 0.001457 , 0.000260 
 0.000199 , 0.004260 
 0.000175 , 0.000259 
 0.002680 , 0.004314 
 0.000144 , 0.000263 
 0.001582 , 0.004261 
 0.000173 , 0.000262 
 0.000159 , 0.004262 
 0.001853 , 0.012328 
 0.000161 , 0.000211 
 0.000142 , 0.000155 
 0.000136 , 0.000138 
 0.002399 , 0.000167 
 0.000176 , 0.000186 
 0.000156 , 0.004191 
 0.000187 , 0.000186 
 0.002710 , 0.000184 
 0.000165 , 0.000183 
 0.000156 , 0.000187 
 0.001635 , 0.004248 
 0.000164 , 0.004242 
 0.000168 , 0.000273 
 0.000160 , 0.004273 
 0.000157 , 0.000239 
 0.000153 , 0.292339 
 0.076083 , 0.000201 
 0.000219 , 0.000161 
 0.004172 , 0.000150 
 0.000153 , 0.000181 
 0.000152 , 0.000233 
 0.000150 , 0.000208 
 0.000150 , 0.000175 
 0.004150 , 0.004214 
 0.000152 , 0.000203 
 0.000152 , 0.000204 
 0.000152 , 0.000211 
 0.000149 , 0.004204 
 0.004151 , 0.000210 
 0.000153 , 0.000263 
 0.000151 , 0.000151 
 0.000148 , 0.000139 
 0.000151 , 0.004195 
 0.004439 , 0.000191 
 0.000165 , 0.000183 
 0.000151 , 0.000232 
 0.000153 , 0.004175 
 0.003855 , 0.000158 
 0.000153 , 0.000148 
 0.000153 , 0.004148 
 0.000122 , 0.000153 
 0.002385 , 0.000104 
 0.000171 , 0.000165 
 0.105875 , 0.000191 
 0.004183 , 0.000168 
 0.000149 , 0.004191 
 0.000145 , 0.000172 
 0.000138 , 0.000164 
 0.000133 , 0.000167 
 0.004166 , 0.000132 
 0.000143 , 0.000133 
 0.000140 , 0.000134 
 0.000145 , 0.000129 
 0.000162 , 0.000130 
 0.004150 , 0.004129 
 0.000136 , 0.000136 
 0.000127 , 0.000165 
 0.000130 , 0.000150 
 0.000133 , 0.000157 
 0.004121 , 0.000162 
 0.000138 , 0.004198 
 0.000141 , 0.000201 
 0.000136 , 0.000149 
 0.000131 , 0.000151 
 0.004131 , 0.000150 
 0.000131 , 0.004158 
 0.000134 , 0.000146 
 0.000131 , 0.000150 
 0.000141 , 0.000147 
 0.000150 , 0.000146 
 0.000150 , 0.004151 
 0.004163 , 0.000170 
 0.000153 , 0.000161 
 0.000161 , 0.000161 
 0.000150 , 0.000164 
 0.000163 , 0.004187 
 0.004139 , 0.000151 
 0.000178 , 0.000156 
 0.000153 , 0.000135 
 0.000155 , 0.000136 
 0.000155 , 0.004154 
 0.000154 , 0.000139 
 0.004148 , 0.000160 
 0.000185 , 0.000238 
 0.000181 , 0.000142 
 0.000182 , 0.004139 
 0.004159 , 0.000138 
 0.000154 , 0.000136 
 0.000153 , 0.000139 
 0.000153 , 0.000131 
 0.000152 , 0.000132 
 0.000150 , 0.000136 
 0.000156 , 0.004136 
 0.004148 , 0.000132 
 0.000156 , 0.000136 
 0.000151 , 0.000131 
 0.000151 , 0.000133 
 0.088038 , 0.000136 
 0.000193 , 0.000137 
 0.000164 , 0.000135 
 0.000157 , 0.004141 
 0.004164 , 0.000128 
 0.000164 , 0.000148 
 0.000160 , 0.000185 
 0.000161 , 0.000162 
 0.000159 , 0.000164 
 0.000155 , 0.008154 
 0.004162 , 0.000136 
 0.000156 , 0.000114 
 0.000164 , 0.000110 
 0.000169 , 0.000107 
 0.004168 , 0.000106 
 0.000152 , 0.000112 
 0.000140 , 0.004141 
 0.000146 , 0.000111 
 0.004288 , 0.000128 
 0.000157 , 0.000181 
 0.000149 , 0.000179 
 0.000144 , 0.000186 
 0.000141 , 0.004157 
 0.004009 , 0.000163 
 0.000144 , 0.000116 
 0.000143 , 0.000137 
 0.000141 , 0.000107 
 0.104016 , 0.000137 
 0.000166 , 0.000134 
 0.000153 , 0.004134 
 0.004142 , 0.000138 
 0.000146 , 0.000135 
 0.000129 , 0.000221 
 0.000157 , 0.000254 
 0.000157 , 0.000152 
 0.004208 , 0.004142 
 0.000207 , 0.000141 
 0.000204 , 0.000138 
 0.000200 , 0.000156 
 0.004196 , 0.000136 
 0.000194 , 0.000136 
 0.000191 , 0.000152 
 0.004196 , 0.004140 
 0.000218 , 0.000141 
 0.000201 , 0.000137 
 0.000197 , 0.000137 
 0.000197 , 0.000136 
 0.004180 , 0.000145 
 0.000202 , 0.000136 
 0.000200 , 0.000137 
 0.000198 , 0.004170 
 0.004199 , 0.000160 
 0.001629 , 0.000161 
 0.000204 , 0.000174 
 0.000185 , 0.000158 
 0.002771 , 0.000163 
 0.000201 , 0.004163 
 0.000192 , 0.000162 
 0.000196 , 0.000162 
 0.000192 , 0.060179 
 0.000192 , 0.004208 
 0.004197 , 0.000191 
 0.000199 , 0.000179 
 0.000217 , 0.000176 
 0.002829 , 0.000179 
 0.001537 , 0.004179 
 0.000211 , 0.000178 
 0.001849 , 0.000217 
 0.000204 , 0.000178 
 0.000202 , 0.000178 
 0.002518 , 0.004181 
 0.000208 , 0.000185 
 0.002577 , 0.000178 
 0.000244 , 0.000185 
 0.001826 , 0.000169 
 0.000201 , 0.004201 
 0.000200 , 0.000133 
 0.000201 , 0.000161 
 0.000197 , 0.000144 
 0.004208 , 0.000139 
 0.000199 , 0.004138 
 0.076005 , 0.000137 
 0.000166 , 0.000146 
 0.000141 , 0.000133 
 0.004137 , 0.000134 
 0.000144 , 0.000141 
 0.000141 , 0.108129 
 0.000140 , 0.000254 
 0.000191 , 0.004214 
 0.004202 , 0.000216 
 0.000189 , 0.000221 
 0.000198 , 0.004214 
 0.000196 , 0.000226 
 0.004195 , 0.000222 
 0.000187 , 0.000240 
 0.004183 , 0.000205 
 0.001483 , 0.000186 
 0.000180 , 0.000180 
 0.000157 , 0.000180 
 0.000162 , 0.004211 
 0.002876 , 0.000176 
 0.000159 , 0.000165 
 0.000169 , 0.000166 
 0.000165 , 0.000165 
 0.000160 , 0.000157 
 0.000159 , 0.004159 
 0.004165 , 0.000156 
 0.000160 , 0.000151 
 0.099918 , 0.000151 
 0.000164 , 0.000152 
 0.000140 , 0.000154 
 0.000139 , 0.000138 
 0.000186 , 0.004183 
 0.000166 , 0.000180 
 0.000159 , 0.000179 
 0.000157 , 0.000213 
 0.000162 , 0.004222 
 0.000162 , 0.000125 
 0.000169 , 0.000166 
 0.000164 , 0.000174 
 0.000157 , 0.000142 
 0.000165 , 0.000132 
 0.008093 , 0.004132 
 0.000182 , 0.000133 
 0.000165 , 0.000131 
 0.000145 , 0.000128 
 0.000142 , 0.000128 
 0.004143 , 0.000128 
 0.000270 , 0.000128 
 0.004268 , 0.000128 
 0.000244 , 0.004127 
 0.000192 , 0.000142 
 0.000178 , 0.000133 
 0.004179 , 0.000130 
 0.001877 , 0.000129 
 0.001922 , 0.000129 
 0.000736 , 0.000130 
 0.000225 , 0.000129 
 0.000185 , 0.004145 
 0.000187 , 0.000131 
 0.000191 , 0.080165 
 0.000205 , 0.004195 
 0.000204 , 0.000175 
 0.000199 , 0.000190 
 0.000202 , 0.000173 
 0.003821 , 0.000165 
 0.000526 , 0.000169 
 0.000203 , 0.000162 
 0.000198 , 0.000171 
 0.000218 , 0.000170 
 0.004570 , 0.004118 
 0.000227 , 0.000240 
 0.000215 , 0.000222 
 0.000200 , 0.000170 
 0.003903 , 0.000170 
 0.000203 , 0.004174 
 0.000204 , 0.000223 
 0.000199 , 0.000181 
 0.000199 , 0.000152 
 0.004198 , 0.004129 
 0.000199 , 0.000137 
 0.000202 , 0.000160 
 0.075949 , 0.000139 
 0.000214 , 0.000161 
 0.004178 , 0.000175 
 0.000170 , 0.000142 
 0.000182 , 0.004243 
 0.000172 , 0.108222 
 0.000175 , 0.000227 
 0.004170 , 0.000217 
 0.000174 , 0.000217 
 0.000168 , 0.004216 
 0.000170 , 0.000217 
 0.000172 , 0.000215 
 0.004175 , 0.000213 
 0.000193 , 0.004214 
 0.005495 , 0.000210 
 0.002830 , 0.000215 
