
 memoria ; bateria,cpu ; crip ;   ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 71 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 74 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 74 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 74 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 74 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 73 ; ##AES192## ;
  3 ; 64 ; 72 ; ##AES192## ;
  3 ; 64 ; 74 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 74 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 72 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 71 ; ##AES192## ;
  3 ; 66 ; 73 ; ##AES192## ;
  3 ; 66 ; 93 ; ##AES192## ;
  3 ; 66 ; 92 ; ##AES192## ;
  3 ; 66 ; 93 ; ##AES192## ;
  3 ; 66 ; 92 ; ##AES192## ;
  3 ; 66 ; 91 ; ##AES192## ;
  3 ; 66 ; 93 ; ##AES192## ;
  3 ; 66 ; 92 ; ##AES192## ;
  3 ; 66 ; 92 ; ##AES192## ;
  3 ; 66 ; 91 ; ##AES192## ;
  3 ; 66 ; 91 ; ##AES192## ;
  3 ; 66 ; 91 ; ##AES192## ;
  3 ; 66 ; 93 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 91 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 91 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 92 ; ##AES192## ;
  2 ; 66 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 90 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 91 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 92 ; ##AES192## ;
  2 ; 69 ; 93 ; ##AES192## ;
  2 ; 71 ; 92 ; ##AES192## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 93 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 94 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 93 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 90 ; ##AES256## ;
  2 ; 71 ; 93 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 90 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 90 ; ##AES256## ;
  2 ; 71 ; 91 ; ##AES256## ;
  2 ; 71 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 90 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 90 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 95 ; ##AES256## ;
  2 ; 73 ; 90 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 90 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 90 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 92 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 73 ; 91 ; ##AES256## ;
  2 ; 75 ; 89 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 92 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 89 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 89 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 89 ; ##AES256## ;
  2 ; 75 ; 91 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 89 ; ##AES256## ;
  2 ; 75 ; 90 ; ##AES256## ;
  2 ; 75 ; 86 ; ##AES256## ;
