
 memoria ; bateria,cpu ; crip ;   ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 94 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 91 ; ##CHACHA## ;
  2 ; 75 ; 93 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 75 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 93 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 91 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 77 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 93 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 93 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 93 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 93 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 90 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 94 ; ##CHACHA## ;
  2 ; 79 ; 90 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 90 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
  2 ; 79 ; 91 ; ##CHACHA## ;
  2 ; 79 ; 93 ; ##CHACHA## ;
  2 ; 79 ; 92 ; ##CHACHA## ;
