memoria, bateria, cpu, crip
  3%, 76%, 74%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 76%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 76%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 76%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 77%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 76%, 74%, ##AES192##
  3%, 76%, 75%, ##AES192##
  3%, 78%, 74%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 76%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 73%, ##AES192##
  3%, 78%, 74%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 74%, ##AES192##
  3%, 78%, 74%, ##AES192##
  3%, 78%, 73%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 79%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 76%, ##AES192##
  3%, 78%, 76%, ##AES192##
  3%, 78%, 76%, ##AES192##
  3%, 78%, 75%, ##AES192##
  3%, 78%, 90%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 92%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 94%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 78%, 93%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 92%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 92%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 92%, ##AES192##
  3%, 81%, 92%, ##AES192##
  3%, 81%, 92%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 93%, ##AES192##
  3%, 81%, 94%, ##AES192##
  3%, 81%, 93%, ##AES192##
