memoria, cpu, crip,
 39%, 94%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 97%, ##AES256##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 97%, ##AES128##,
 39%, 93%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 98%, ##AES128##,
 39%, 96%, ##AES128##,
