memoria, cpu, crip
 49%, 57%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 47%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 47%, 59%, ##AES256##
 47%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 47%, 58%, ##AES256##
 47%, 58%, ##AES256##
 49%, 58%, ##AES256##
 47%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 57%, ##AES256##
 49%, 59%, ##AES256##
 48%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 60%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 48%, 59%, ##AES256##
 49%, 59%, ##AES256##
 48%, 59%, ##AES256##
 48%, 59%, ##AES256##
 49%, 59%, ##AES256##
 48%, 57%, ##AES256##
 49%, 59%, ##AES256##
 48%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 48%, 59%, ##AES256##
 49%, 56%, ##AES256##
 49%, 57%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 57%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES256##
 49%, 59%, ##AES256##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 48%, 58%, ##AES192##
 48%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 48%, 57%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 48%, 58%, ##AES192##
 48%, 59%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 48%, 58%, ##AES192##
 48%, 59%, ##AES192##
 49%, 58%, ##AES192##
 48%, 59%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 48%, 58%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 58%, ##AES192##
 49%, 59%, ##AES192##
 49%, 58%, ##AES192##
 49%, 57%, ##AES192##
 48%, 58%, ##AES192##
 49%, 59%, ##AES192##
 46%, 88%, ##AES192##
 46%, 58%, ##AES192##
 48%, 59%, ##AES192##
 48%, 58%, ##AES192##
