 memoria, cpu, crip,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 93, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 93, ##AES256##,
 39, 94, ##AES256##,
 39, 95, ##AES256##,
 39, 93, ##AES256##,
 39, 93, ##AES256##,
 39, 92, ##AES256##,
 39, 94, ##AES256##,
 39, 94, ##AES256##,
 39, 92, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 93, ##AES192##,
 39, 95, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 92, ##AES192##,
 39, 95, ##AES192##,
 39, 95, ##AES192##,
 39, 95, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 93, ##AES192##,
 39, 93, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 95, ##AES192##,
 39, 96, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
 39, 95, ##AES192##,
 39, 96, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 96, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 95, ##AES192##,
 39, 94, ##AES192##,
 39, 94, ##AES192##,
 39, 93, ##AES192##,
