 ##AES192## , ##AES256## 
 0.003027 , 0.003376 
 0.002981 , 0.003373 
 0.001940 , 0.004443 
 0.006988 , 0.003371 
 0.003066 , 0.003452 
 0.002846 , 0.003415 
 0.002968 , 0.003144 
 0.003161 , 0.002077 
 0.003231 , 0.001996 
 0.003258 , 0.003069 
 0.003278 , 0.003005 
 0.003346 , 0.003000 
 0.002274 , 0.092186 
 0.003224 , 0.003391 
 0.003250 , 0.003414 
 0.003465 , 0.003508 
 0.003297 , 0.003380 
 0.001933 , 0.004459 
 0.002123 , 0.225517 
 0.022116 , 0.004372 
 0.003050 , 0.003210 
 0.002936 , 0.003196 
 0.001977 , 0.003281 
 0.001969 , 0.003348 
 0.001967 , 0.003466 
 0.001928 , 0.003121 
 0.021185 , 0.003055 
 0.003197 , 0.003016 
 0.003040 , 0.003031 
 0.003088 , 0.002065 
 0.003057 , 0.002042 
 0.003092 , 0.094105 
 0.036093 , 0.002898 
 0.001875 , 0.001858 
 0.002831 , 0.003271 
 0.003165 , 0.003478 
 0.003401 , 0.004545 
 0.003321 , 0.003296 
 0.003329 , 0.003409 
 0.002177 , 0.003216 
 0.003207 , 0.003149 
 0.003296 , 0.002958 
 0.002881 , 0.002979 
 0.001931 , 0.003066 
 0.001957 , 0.005162 
 0.015236 , 0.003037 
 0.003059 , 0.002996 
 0.003088 , 0.002968 
 0.003140 , 0.002064 
 0.003115 , 0.002113 
 0.002986 , 0.002080 
 0.003009 , 0.085121 
 0.074209 , 0.003381 
 0.003388 , 0.003381 
 0.003471 , 0.003426 
 0.003451 , 0.004451 
 0.003279 , 0.003513 
 0.003441 , 0.109455 
 0.108424 , 0.005752 
 0.004408 , 0.003441 
 0.004435 , 0.003255 
 0.004355 , 0.004437 
 0.003366 , 0.004537 
 0.003355 , 0.002025 
 0.004766 , 0.002035 
 0.003040 , 0.002067 
 0.003022 , 0.001994 
 0.002960 , 0.002119 
 0.001988 , 0.003049 
 0.001992 , 0.002026 
 0.001974 , 0.092179 
 0.095198 , 0.003393 
 0.003484 , 0.004446 
 0.003427 , 0.003308 
 0.003288 , 0.003420 
 0.003383 , 0.004441 
 0.003311 , 0.003584 
 0.003432 , 0.106405 
 0.099170 , 0.003413 
 0.004481 , 0.003286 
 0.004418 , 0.003327 
 0.004281 , 0.003308 
 0.003368 , 0.003349 
 0.003722 , 0.003553 
 0.004278 , 0.003147 
 0.003149 , 0.003100 
 0.003011 , 0.003065 
 0.002943 , 0.002979 
 0.002995 , 0.003081 
 0.001963 , 0.002999 
 0.001887 , 0.093147 
 0.097491 , 0.003454 
 0.003773 , 0.002349 
 0.003653 , 0.003342 
 0.003005 , 0.003472 
 0.001958 , 0.003486 
 0.002022 , 0.111287 
 0.101140 , 0.003370 
 0.003452 , 0.003373 
 0.003468 , 0.003343 
 0.003421 , 0.003316 
 0.004232 , 0.003352 
 0.003413 , 0.004461 
 0.004627 , 0.003054 
 0.003057 , 0.003125 
 0.003031 , 0.003107 
 0.003023 , 0.003026 
 0.001980 , 0.003090 
 0.002015 , 0.003009 
 0.001933 , 0.095816 
 0.095143 , 0.003358 
 0.003450 , 0.003379 
 0.003390 , 0.004461 
 0.003435 , 0.003437 
 0.003306 , 0.003549 
 0.003419 , 0.003550 
 0.003632 , 0.106384 
 0.101219 , 0.003382 
 0.004472 , 0.003348 
 0.004399 , 0.003305 
 0.003325 , 0.003347 
 0.003301 , 0.004399 
 0.004393 , 0.003546 
 0.003480 , 0.003083 
 0.003078 , 0.003064 
 0.003036 , 0.002974 
 0.001949 , 0.003031 
 0.002920 , 0.003056 
 0.001991 , 0.002982 
 0.001962 , 0.092077 
 0.102493 , 0.003378 
 0.003565 , 0.003359 
 0.003604 , 0.003466 
 0.002974 , 0.003452 
 0.001956 , 0.004505 
 0.001904 , 0.109329 
 0.100106 , 0.003468 
 0.003335 , 0.003297 
 0.003399 , 0.003305 
 0.003296 , 0.003124 
 0.003336 , 0.003313 
 0.003458 , 0.003160 
 0.004270 , 0.003472 
 0.003005 , 0.002095 
 0.003037 , 0.002049 
 0.002993 , 0.002032 
 0.002952 , 0.002022 
 0.003098 , 0.002079 
 0.001984 , 0.096146 
 0.093059 , 0.003462 
 0.003369 , 0.003312 
 0.003423 , 0.005614 
 0.003496 , 0.003541 
 0.003473 , 0.003469 
 0.003312 , 0.003301 
 0.003427 , 0.106189 
 0.103362 , 0.003378 
 0.003409 , 0.003336 
 0.003420 , 0.003279 
 0.003399 , 0.003305 
 0.003395 , 0.003287 
 0.004497 , 0.004566 
 0.003282 , 0.002235 
 0.003184 , 0.002064 
 0.002991 , 0.003008 
 0.003008 , 0.001987 
 0.003017 , 0.002081 
 0.001970 , 0.003000 
 0.001965 , 0.095162 
 0.091274 , 0.003378 
 0.003458 , 0.003426 
 0.003464 , 0.004541 
 0.003410 , 0.003191 
 0.003459 , 0.003441 
 0.003402 , 0.107315 
 0.106392 , 0.003353 
 0.004516 , 0.003299 
 0.004399 , 0.003300 
 0.004353 , 0.003275 
 0.003289 , 0.003329 
 0.003352 , 0.004372 
 0.003733 , 0.003411 
 0.002050 , 0.003049 
 0.003023 , 0.003077 
 0.002979 , 0.002972 
 0.001971 , 0.003034 
 0.002079 , 0.003135 
 0.001907 , 0.093163 
 0.093106 , 0.003421 
 0.003375 , 0.003438 
 0.003372 , 0.003432 
 0.003482 , 0.003432 
 0.003248 , 0.003456 
 0.003276 , 0.004544 
 0.003525 , 0.100473 
 0.314385 , 0.002171 
 0.004514 , 0.003145 
 0.003392 , 0.003332 
 0.003399 , 0.003256 
 0.003116 , 0.003266 
 0.002962 , 0.003371 
 0.003226 , 0.003586 
 0.003387 , 0.002053 
 0.003332 , 0.003199 
 0.002181 , 0.001994 
 0.001796 , 0.002005 
 0.001790 , 0.002068 
 0.001750 , 0.087181 
 0.001731 , 0.003399 
 0.001803 , 0.003402 
 0.002189 , 0.003444 
 0.002268 , 0.003438 
 0.003256 , 0.003452 
 0.003306 , 0.107209 
 0.003351 , 0.003434 
 0.003226 , 0.002255 
 0.003675 , 0.003276 
 0.003247 , 0.003325 
 0.003110 , 0.003390 
 0.003136 , 0.004620 
 0.003063 , 0.003268 
 0.002956 , 0.003109 
 0.003042 , 0.003037 
 0.001966 , 0.002008 
 0.003054 , 0.002054 
 0.003000 , 0.002054 
 0.003026 , 0.093014 
 0.003089 , 0.004435 
 0.003106 , 0.003380 
 0.003117 , 0.003448 
 0.003107 , 0.003475 
 0.003095 , 0.003511 
 0.003044 , 0.003890 
 0.002976 , 0.101208 
 0.069221 , 0.003320 
 0.004451 , 0.003310 
 0.004295 , 0.003305 
 0.004439 , 0.003223 
 0.004559 , 0.003386 
 0.003680 , 0.003563 
 0.105362 , 0.003186 
 0.003434 , 0.003128 
 0.003355 , 0.003057 
 0.003407 , 0.002960 
 0.003342 , 0.003057 
 0.004512 , 0.003012 
 0.003414 , 0.091239 
 0.003133 , 0.003376 
 0.002993 , 0.004472 
 0.001971 , 0.003450 
 0.002006 , 0.003335 
 0.002048 , 0.003374 
 0.002955 , 0.318501 
 0.092080 , 0.004504 
 0.003422 , 0.004408 
 0.003432 , 0.004498 
 0.003346 , 0.003444 
 0.003411 , 0.001980 
 0.004426 , 0.003041 
 0.003645 , 0.004451 
 0.104109 , 0.003391 
 0.004463 , 0.003413 
 0.003231 , 0.001982 
 0.003396 , 0.002825 
 0.003355 , 0.001783 
 0.004404 , 0.001760 
 0.003662 , 0.001843 
 0.003152 , 0.003261 
 0.003003 , 0.003232 
 0.002984 , 0.003318 
 0.002963 , 0.003243 
 0.001978 , 0.003204 
 0.001924 , 0.003459 
 0.093229 , 0.003306 
 0.004407 , 0.003156 
 0.004424 , 0.003053 
 0.004485 , 0.002992 
 0.004422 , 0.002996 
 0.003689 , 0.001990 
 0.003214 , 0.001998 
 0.106525 , 0.002064 
 0.003313 , 0.002033 
 0.002502 , 0.002027 
 0.003419 , 0.001992 
 0.003410 , 0.002110 
 0.006306 , 0.002009 
 0.011429 , 0.001999 
 0.003088 , 0.003165 
 0.003119 , 0.002151 
 0.004092 , 0.003022 
 0.003093 , 0.002997 
 0.002962 , 0.003000 
 0.102520 , 0.065200 
 0.003596 , 0.003424 
 0.004820 , 0.003240 
 0.002927 , 0.003412 
 0.003014 , 0.003341 
 0.001986 , 0.003435 
 0.001912 , 0.103362 
 0.098276 , 0.003441 
 0.004455 , 0.003389 
 0.004457 , 0.003386 
 0.004349 , 0.003452 
 0.003339 , 0.004370 
 0.003460 , 0.004551 
 0.003435 , 0.002061 
 0.003097 , 0.003140 
 0.003009 , 0.002032 
 0.002943 , 0.002030 
 0.003002 , 0.002021 
 0.001985 , 0.001999 
 0.002007 , 0.088112 
 0.093203 , 0.003440 
 0.003329 , 0.003345 
 0.004384 , 0.004501 
 0.004329 , 0.003545 
 0.004395 , 0.003308 
 0.004496 , 0.108305 
 0.003439 , 0.003353 
 0.104090 , 0.003350 
 0.003487 , 0.003377 
 0.003351 , 0.003377 
 0.004288 , 0.003424 
 0.003332 , 0.003441 
 0.003516 , 0.003385 
 0.004518 , 0.003129 
 0.003139 , 0.003044 
 0.003051 , 0.003081 
 0.002941 , 0.003022 
 0.003017 , 0.003137 
 0.002043 , 0.003032 
 0.094063 , 0.093191 
 0.004513 , 0.003489 
 0.003333 , 0.003374 
 0.003397 , 0.003416 
 0.003449 , 0.004461 
 0.003354 , 0.003392 
 0.003522 , 0.107399 
 0.105219 , 0.003393 
 0.003479 , 0.003332 
 0.003481 , 0.003406 
 0.003273 , 0.003288 
 0.003337 , 0.003463 
 0.003482 , 0.003659 
 0.003594 , 0.003164 
 0.003085 , 0.002128 
 0.003023 , 0.002009 
 0.002960 , 0.003031 
 0.002012 , 0.003035 
 0.001997 , 0.003000 
 0.003037 , 0.093180 
 0.094193 , 0.003411 
 0.004369 , 0.003417 
 0.004567 , 0.003468 
 0.004332 , 0.003442 
 0.003357 , 0.003449 
 0.003647 , 0.108301 
 0.003318 , 0.003257 
 0.105183 , 0.003318 
 0.003460 , 0.003252 
 0.004419 , 0.003308 
 0.004298 , 0.003235 
 0.003408 , 0.003472 
 0.003281 , 0.007647 
 0.003143 , 0.003443 
 0.003110 , 0.003060 
 0.002065 , 0.003044 
 0.001976 , 0.003023 
 0.002056 , 0.002009 
 0.001950 , 0.002052 
 0.094171 , 0.087203 
 0.003438 , 0.003438 
 0.003406 , 0.004404 
 0.003386 , 0.003372 
 0.003408 , 0.003516 
 0.004488 , 0.003435 
 0.003379 , 0.106387 
 0.105050 , 0.003371 
 0.004562 , 0.004375 
 0.003353 , 0.003347 
 0.004296 , 0.002263 
 0.003283 , 0.003394 
 0.003454 , 0.004668 
 0.004265 , 0.003206 
 0.003163 , 0.002150 
 0.002997 , 0.001993 
 0.003022 , 0.002004 
 0.001993 , 0.003034 
 0.002055 , 0.003023 
 0.002948 , 0.093034 
 0.094187 , 0.003382 
 0.004526 , 0.004443 
 0.003521 , 0.003425 
 0.003430 , 0.003368 
 0.003489 , 0.003500 
 0.003656 , 0.108270 
 0.003253 , 0.003418 
 0.106158 , 0.003405 
 0.004528 , 0.004378 
 0.003416 , 0.003286 
 0.003403 , 0.003310 
 0.003414 , 0.004587 
 0.004603 , 0.003183 
 0.003251 , 0.003095 
 0.003098 , 0.003084 
 0.002987 , 0.001990 
 0.002948 , 0.002141 
 0.002962 , 0.002017 
 0.003030 , 0.001996 
 0.001966 , 0.092191 
 0.091184 , 0.003433 
 0.003460 , 0.003392 
 0.003434 , 0.003402 
 0.003365 , 0.003509 
 0.003298 , 0.003401 
 0.004697 , 0.108364 
 0.107377 , 0.003457 
 0.003485 , 0.003338 
 0.003346 , 0.003332 
 0.004356 , 0.003317 
 0.003312 , 0.003333 
 0.003480 , 0.003606 
 0.004601 , 0.003248 
