
 memoria ; cpu; crip ;
 30 ; 31 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 29 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 72 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 29 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 68 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 71 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 76 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 70 ; ##AES128## ;
 30 ; 91 ; ##AES128## ;
 28 ; 96 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 70 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 71 ; ##AES128## ;
 28 ; 69 ; ##AES128## ;
