memoria, cpu, crip,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 90%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 90%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 89%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 83%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 85%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
 29%, 88%, ##CHACHA##,
 29%, 87%, ##CHACHA##,
 29%, 86%, ##CHACHA##,
