memoria, cpu, crip
 46%, 81%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 74%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 78%, ##AES256##
 46%, 76%, ##AES256##
 46%, 77%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 79%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 73%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 74%, ##AES256##
 46%, 77%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 77%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 80%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 75%, ##AES256##
 46%, 78%, ##AES256##
 46%, 74%, ##AES256##
 46%, 80%, ##AES256##
 46%, 77%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 77%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 75%, ##AES256##
 46%, 74%, ##AES256##
 46%, 74%, ##AES256##
 46%, 75%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 76%, ##AES256##
 46%, 80%, ##AES256##
 46%, 75%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 78%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 81%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 79%, ##CHACHA##
 46%, 80%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 79%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 79%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 77%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 67%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 73%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 84%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 78%, ##CHACHA##
 46%, 73%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 72%, ##CHACHA##
 46%, 65%, ##CHACHA##
 46%, 68%, ##CHACHA##
 46%, 54%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 58%, ##CHACHA##
 46%, 55%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 75%, ##CHACHA##
 46%, 74%, ##CHACHA##
 46%, 76%, ##CHACHA##
 46%, 64%, ##CHACHA##
 46%, 72%, ##CHACHA##
 46%, 70%, ##CHACHA##
