memoria, cpu, crip,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 69%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 69%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 69%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 69%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 31%, 69%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 31%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 71%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##CHACHA##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 31%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 31%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 31%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 70%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 70%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 31%, 71%, ##AES256##,
 30%, 71%, ##AES256##,
 30%, 70%, ##AES256##,
