
 memoria ; cpu; crip ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 65 ; ##AES256## ;
 30 ; 65 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 29 ; 65 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 65 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 65 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 30 ; 64 ; ##AES256## ;
 29 ; 63 ; ##AES256## ;
