
 memoria ; cpu; crip ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 32 ; 66 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 31 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 31 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 65 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 31 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
 30 ; 64 ; ##CHACHA## ;
