memoria, cpu, crip,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 26, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 26, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 25, ##AES128##,
 29, 26, ##AES128##,
