memoria, cpu, crip,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 30%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
 29%, 25%, ##CHACHA20##,
